日付,始値,高値,安値,終値
2022年03月03日 04:50,115.564,115.589,115.552,115.571
2022年03月03日 05:00,115.571,115.573,115.493,115.498
2022年03月03日 05:10,115.498,115.546,115.497,115.528
2022年03月03日 05:20,115.528,115.564,115.523,115.556
2022年03月03日 05:30,115.556,115.586,115.542,115.579
2022年03月03日 05:40,115.578,115.586,115.56,115.576
2022年03月03日 05:50,115.576,115.577,115.501,115.517
2022年03月03日 06:00,115.517,115.56,115.496,115.541
2022年03月03日 06:10,115.541,115.542,115.508,115.529
2022年03月03日 06:20,115.529,115.539,115.509,115.525
2022年03月03日 06:30,115.524,115.528,115.493,115.505
2022年03月03日 06:40,115.505,115.52,115.499,115.519
2022年03月03日 06:50,115.519,115.525,115.497,115.52
2022年03月03日 07:00,115.519,115.52,115.511,115.52
2022年03月03日 07:10,115.52,115.52,115.518,115.518
2022年03月03日 07:20,115.518,115.537,115.516,115.52
2022年03月03日 07:30,115.52,115.52,115.519,115.52
2022年03月03日 07:40,115.52,115.525,115.52,115.525
2022年03月03日 07:50,115.525,115.525,115.511,115.515
2022年03月03日 08:00,115.515,115.517,115.454,115.469
2022年03月03日 08:10,115.469,115.471,115.436,115.454
2022年03月03日 08:20,115.454,115.491,115.436,115.487
2022年03月03日 08:30,115.487,115.488,115.454,115.479
2022年03月03日 08:40,115.479,115.507,115.449,115.486
2022年03月03日 08:50,115.486,115.518,115.485,115.512
2022年03月03日 09:00,115.512,115.546,115.488,115.539
2022年03月03日 09:10,115.539,115.539,115.516,115.519
2022年03月03日 09:20,115.521,115.527,115.487,115.497
2022年03月03日 09:30,115.497,115.546,115.495,115.538
2022年03月03日 09:40,115.538,115.561,115.52,115.561
2022年03月03日 09:50,115.561,115.61,115.546,115.594
2022年03月03日 10:00,115.595,115.658,115.579,115.59
2022年03月03日 10:10,115.591,115.602,115.562,115.598
2022年03月03日 10:20,115.597,115.603,115.571,115.574
2022年03月03日 10:30,115.575,115.579,115.529,115.567
2022年03月03日 10:40,115.567,115.604,115.567,115.583
2022年03月03日 10:50,115.588,115.599,115.577,115.592
2022年03月03日 11:00,115.592,115.627,115.568,115.607
2022年03月03日 11:10,115.607,115.641,115.606,115.635
2022年03月03日 11:20,115.635,115.641,115.578,115.602
2022年03月03日 11:30,115.601,115.641,115.591,115.624
2022年03月03日 11:40,115.624,115.66,115.615,115.656
2022年03月03日 11:50,115.656,115.66,115.625,115.628
2022年03月03日 12:00,115.628,115.636,115.616,115.63
2022年03月03日 12:10,115.63,115.644,115.622,115.636
2022年03月03日 12:20,115.636,115.639,115.621,115.627
2022年03月03日 12:30,115.627,115.643,115.622,115.641
2022年03月03日 12:40,115.642,115.656,115.64,115.643
2022年03月03日 12:50,115.642,115.656,115.622,115.623
2022年03月03日 13:00,115.623,115.67,115.621,115.667
2022年03月03日 13:10,115.667,115.69,115.654,115.671
2022年03月03日 13:20,115.671,115.683,115.668,115.675
2022年03月03日 13:30,115.674,115.714,115.673,115.697
2022年03月03日 13:40,115.697,115.705,115.681,115.689
2022年03月03日 13:50,115.69,115.692,115.657,115.665
2022年03月03日 14:00,115.665,115.671,115.634,115.642
2022年03月03日 14:10,115.642,115.661,115.631,115.643
